duration_bins,genre_filtered,avg_upvotes
60-79,Action,1.875
60-79,Comedy,2.120218579234973
60-79,Horror,3.452747252747253
80-99,Action,2.7804971319311664
80-99,Comedy,2.797323818019626
80-99,Horror,2.94424406372107
100-119,Action,3.032983761840325
100-119,Comedy,2.9956403269754768
100-119,Horror,2.95446698316789
120-139,Action,2.8477264716249557
120-139,Comedy,2.945518453427065
120-139,Horror,3.2431302270011946
140-159,Action,2.9226726726726726
140-159,Comedy,4.197183098591549
140-159,Horror,3.3977900552486187
160-179,Action,4.1004901960784315
160-179,Comedy,2.1481481481481484
180-200,Action,1.0
180-200,Comedy,4.0
